car_id,target_reg
P17494612l,49.3781654217079
N-1530212S,32.680082692304566
B-1154399t,29.039575104392775
F12725233R,38.90013689316905
l-1139189J,34.36201811393448
U75286923j,38.294162916522154
T-7479831o,29.709840833621467
B-1369793u,31.912990473224607
Y-1289786X,50.19383334370202
C29045893T,39.468248352636905
v-1730983R,31.198624076878676
I20727212Q,27.554619365094208
p48812438h,66.40795847992271
T-2633971l,49.20930194953698
V-9683916q,60.79356402251135
P68488505Z,31.130569739082375
W23907639f,66.80090764041967
A22674788w,34.44389000635006
y-1252277z,57.63992339570383
u21168983D,38.41977995490503
x12753662A,36.76694044294835
v-7435255a,40.371346404464525
E12421362P,34.98818097918918
J35738918W,33.68878007572619
T16973122B,30.34189996517348
p-5671458M,35.10952979167376
I68086031c,30.925877979754258
D69722395r,51.679609431151945
X10967418c,59.245937263637785
q-1489273f,38.23765503669275
C-1903701S,53.84806115805818
r11820515d,61.993574263119
x12397432S,34.60860578636823
Q50389908q,61.666809145930266
B18597537S,27.66399717299511
S-9537522o,66.86606344102056
a10623296X,26.251307328336836
R28123139u,41.40683023330495
h-1451730v,34.21403483377859
d-1257449w,34.823678233807684
N11419190t,50.98506183505162
k63904133P,67.99575883000651
J92413639E,32.48482715879953
b-3875784F,92.2143017335359
f15183722K,41.46371122495024
c-1874297z,75.925116498871
E16971328N,42.46347844971046
H18110876A,99.32871662337496
P-1301418D,55.79036170864866
b-9697936F,35.27043455760973
H-4258275m,29.91705289449864
H10655858l,30.679427299926413
w-1481290E,29.728504788800507
C40885722w,35.663556291322536
f15625319Q,59.753476759277945
B42019578p,33.708921672274066
T65731704H,35.25218159511687
e30424190o,40.49109695948566
w-1081221i,59.918829532828845
E48110445u,39.3558379592325
u73256394H,57.248696860397374
m17237645h,27.773705881390278
q-1403429B,79.80263023413559
E-1889080W,56.81109260148037
b-1781291I,31.145276931680826
P77959737c,33.13540311697466
h17474551u,83.96241744319256
d17705773B,65.93392307108081
s-2080909j,67.52547770824364
N18448941g,27.454239830175453
P17953716g,30.81603117018883
i94781425U,31.232180414159508
L-2155385D,50.82542069536835
Q21449479D,37.073059251994756
z-1790906x,63.146840242899025
C-4338027c,74.57350882964153
F13621020y,31.42165770900304
P-1981563m,75.36240210891873
B20284663C,93.62602513363856
X-5672837D,26.18331356627564
f-8313064a,33.20140789666466
S16867324D,39.6869776605147
l81011564d,49.533521261615974
T-7878324V,30.300242458602618
X49290901c,34.99922539164469
N15373595s,37.216466725097064
g-1912309G,26.18331356627564
G23848056z,42.738769652850955
w-3530598y,31.25623179326847
s-4092655x,55.74109400690461
v60921451s,32.86706402479419
A-5309696c,115.20623564510993
a21437857o,34.277859881687505
r-2049651S,36.39924217891825
c48174687o,56.74960964561621
n57986901A,42.368355492559196
J43552505w,32.38668242178379
X69815445k,69.2781543576301
Y31463755z,57.86011183410257
C-1846243L,34.15233668521621
z10378875g,26.106736257986324
B-1843237q,39.12938825195166
I-8201538D,32.78205640098086
k-7853395L,48.99557707329542
H-3154020d,35.9394113348978
v11532085a,30.107780079698045
o-1004837T,34.249481488903
E15850759P,66.18542878679096
S11046237d,26.238654635431455
i19615927E,52.28187320437088
h24674210l,40.065858303420825
j-1003273K,87.4388097789693
i18120580r,43.805399655185354
t35781257E,30.38432483107499
S-7977049s,33.52929356053753
H10411834F,61.7367598422298
o29701218V,30.86092701473593
E-1304820y,28.974410304790204
V56226787D,28.428147054583828
I-9571675o,32.635017465894805
a-1832317K,29.105862655620136
H-9271579x,63.3825229038495
H15689477U,87.39040340611962
J-8699353u,34.171748746276094
S-6497022N,34.78251773232212
g11521087z,30.92740131432339
Q-1114187O,31.836768374137314
a-1510716r,30.087838905616653
G12673775u,75.2227041093659
V-1604890W,33.78663469933528
o-8858693p,26.587573370069595
F84870593a,36.391761852081935
j17532274g,65.62581117254726
l-1283385g,26.334268611395636
s-2062095H,30.259481276880813
X13157100E,30.93892594689251
h-2273764e,59.01673887036906
B-2140476J,55.06796304435234
p-8263041e,53.34153740767658
Y-1681893d,56.63153435514724
w-1017091K,33.38592638749611
M-1236720D,33.22505006209188
I-7194770x,28.37467100447275
m13987388S,35.873974863890865
w17315089Z,42.604727129816276
f-1380237E,41.59456653423028
P10499796W,42.02316184706011
l-1844181l,49.93934117388306
g13957568L,39.80632952115044
R-5598576l,43.57866069753726
n59321309Q,31.604056523675766
R-1193631X,30.77295767430999
y-2178923H,44.26380000792893
m73284992F,31.481241332976367
Z-2537370X,71.09469391329301
t17276860j,51.400028128244564
y33047270r,29.8072532172621
b-9079908N,62.14151030363906
q92579907V,64.7505415159658
Z94669875T,63.78574038391656
M86375856k,57.70564222786611
c23067621B,35.12010510084861
L-1838617u,70.63728728779714
s-1063517N,28.190475247792683
x-1172003m,72.27661624372482
Q10654514V,29.97675659540844
A-3425095J,31.647830779771155
F-1854480x,53.09565105559666
C-1953190j,35.595310748094704
l41267361i,45.35515607813915
N90091958O,29.166869894781307
z20306091J,30.86900489034062
F94970727I,62.04297724585807
M14830267a,35.6234858268263
i-1101173g,31.374958054879126
l-7821340d,59.29810291386036
I18827052n,28.63408819136229
Z14111948t,41.18792996931008
T17415608q,71.74763545066482
R-1068057n,34.04265090988336
K-8915465U,32.0365361666499
f-2804472s,53.221648654414984
v-1578970y,35.581383930169714
Q14003835G,50.109571246714324
W14646068A,86.35757237741407
o-1593719v,29.53380131036922
C-4941408C,52.450076812659596
x-9374675c,31.183143333128474
l12294446D,90.02456081117339
p15777006h,28.390002324856937
w-8656872Z,52.17690098729081
D66928361D,37.20434849013505
p-3553707D,31.09787433578076
M10807027o,34.341738908696904
g12484323a,34.162709012836864
Z-8212382G,79.7592781672059
u79013135M,33.755716035748364
m28011734J,32.52385158114053
C-2143786U,29.390584231590147
x-2141235A,34.801082993604524
b44994738S,45.20315293345609
J44930122W,27.70950223948935
g32852591N,84.22942379487358
G85830221c,54.85499719983217
D10434254T,52.17572342914517
R-1143403S,33.80891616479405
N18887406C,27.077448498221266
v14387491a,54.93075134397977
a87403235S,34.627123767370634
I-1075712g,90.47528529508173
N-1087986g,73.28931211016052
y-6871732c,31.68145299971335
A96730234u,53.22022562138414
a22064292L,74.71497989219444
j-1774967Z,54.08381995743435
T83338145S,34.46693079575141
i21617445N,48.325983426517666
p-1641833m,29.931120568506806
z14656246B,52.82501196919706
G-1211626R,69.93637601559676
X12788823V,59.0668802459507
c-1552425b,35.7844168361662
w-2122585e,34.35604874664691
x11964154C,28.141593878806752
t20645918R,76.40731506687811
z13283849d,29.345855927796812
h11730518w,37.33012820061193
G19948827y,85.78936256874294
r43274910O,31.801243211785692
e-9096071i,31.662875397717535
d-8576748Q,26.76919615046115
z91796444U,35.72133074587486
F12654866z,43.50377266740636
w-1757702F,64.95884266771326
b-1234099Q,35.055292305965025
v21855739r,25.982428730812106
W-5904057t,44.720672612042705
e-9386234g,74.00029885676369
Q42074100L,47.23669595610785
g-4536331j,53.80139817822817
o65053979S,29.863259571467154
F-4400642b,29.640180652060884
X-2198546w,32.94813533390391
c11345351C,95.49370904526035
M-4222158J,46.73921253636673
t-8913790b,35.499402564499874
h-1723876L,63.926030503282426
b11565616J,30.843745328206204
s-1143093p,36.12383183577579
F-1742867J,63.88114187740851
