car_id,target_reg
P17494612l,50.371895877842434
N-1530212S,32.59214863680707
B-1154399t,29.759042024961953
F12725233R,37.82588450159532
l-1139189J,34.82423635005223
U75286923j,38.37702796066548
T-7479831o,30.064992250135397
B-1369793u,33.171590925996085
Y-1289786X,51.03696083883827
C29045893T,38.53713674086694
v-1730983R,30.524446217721596
I20727212Q,25.609200142407744
p48812438h,70.5930571838324
T-2633971l,46.62124359787069
V-9683916q,59.9977434219097
P68488505Z,30.036675179748322
W23907639f,67.35912564670824
A22674788w,33.48017705174383
y-1252277z,58.923786519470674
u21168983D,39.108630964106865
x12753662A,37.69246771822722
v-7435255a,39.85352621913823
E12421362P,35.5706260262093
J35738918W,35.388682452595916
T16973122B,30.94848794790427
p-5671458M,33.654265288208464
I68086031c,29.961655527913607
D69722395r,51.53588998208377
X10967418c,59.669862359947565
q-1489273f,34.21281244982474
C-1903701S,54.68336278446053
r11820515d,65.15443632142737
x12397432S,35.85879792791232
Q50389908q,62.2841402716333
B18597537S,27.95733093218042
S-9537522o,66.151139519756
a10623296X,25.317010672381898
R28123139u,42.35601605516878
h-1451730v,36.601956180370195
d-1257449w,36.68082174524736
N11419190t,46.33327285984694
k63904133P,65.65060874125504
J92413639E,34.50918625434022
b-3875784F,89.32299606190793
f15183722K,41.095888316831605
c-1874297z,71.33327310682537
E16971328N,40.44456675535146
H18110876A,88.68202906287982
P-1301418D,58.03045322648191
b-9697936F,35.09151598428437
H-4258275m,29.246490046597657
H10655858l,30.528526183584553
w-1481290E,30.313894510748227
C40885722w,35.11694798357685
f15625319Q,59.041882840799545
B42019578p,32.993020696023294
T65731704H,35.043776049625265
e30424190o,41.21749727719799
w-1081221i,58.400152690849225
E48110445u,38.65168247289749
u73256394H,56.08505541502003
m17237645h,27.419708882055552
q-1403429B,86.84844548638603
E-1889080W,57.55169298579008
b-1781291I,31.016575917746913
P77959737c,34.2119902567745
h17474551u,83.0375625780656
d17705773B,66.9234864461784
s-2080909j,64.85954268842337
N18448941g,26.32702398922448
P17953716g,32.68534486769265
i94781425U,31.109562475716988
L-2155385D,50.44617233513195
Q21449479D,37.98243040653615
z-1790906x,68.5224627186175
C-4338027c,77.26336134616491
F13621020y,30.27473960103705
P-1981563m,74.96267387616331
B20284663C,88.32318391046117
X-5672837D,26.209993836803083
f-8313064a,33.43812528721774
S16867324D,39.60475748673178
l81011564d,50.194744375555615
T-7878324V,29.7793971956928
X49290901c,35.06442134546258
N15373595s,37.884037976868086
g-1912309G,25.526749611765673
G23848056z,43.00365255846533
w-3530598y,31.190640200825264
s-4092655x,52.60878396827442
v60921451s,33.54634529605573
A-5309696c,105.8834209757598
a21437857o,34.695573440463804
r-2049651S,37.800643445742836
c48174687o,56.75607831326946
n57986901A,41.88964941673247
J43552505w,31.615316712600986
X69815445k,69.03872085578841
Y31463755z,58.066158536181185
C-1846243L,36.031871296978395
z10378875g,26.029491456746666
B-1843237q,37.7135696096594
I-8201538D,33.3680825090356
k-7853395L,48.83630319950716
H-3154020d,35.54302650192119
v11532085a,30.99838935121931
o-1004837T,35.43603745080111
E15850759P,64.26320375947854
S11046237d,25.5576035623101
i19615927E,52.76097430691968
h24674210l,37.93539898040547
j-1003273K,84.47447233863807
i18120580r,43.87983972506293
t35781257E,28.806055167348834
S-7977049s,35.32509256828082
H10411834F,59.497529367037174
o29701218V,30.343900072034472
E-1304820y,28.58777035747331
V56226787D,25.496266861872158
I-9571675o,32.51576823979087
a-1832317K,29.92905664332425
H-9271579x,61.72026156163089
H15689477U,78.27313965867813
J-8699353u,33.51160533323702
S-6497022N,34.59502762286925
g11521087z,30.94313852023014
Q-1114187O,31.976273982223884
a-1510716r,29.983295323602967
G12673775u,74.71716808292585
V-1604890W,33.82100090700376
o-8858693p,26.201717192712835
F84870593a,36.91696012391289
j17532274g,66.28784685157248
l-1283385g,26.003848324083442
s-2062095H,29.640578817374397
X13157100E,32.45269331135572
h-2273764e,60.65955183612621
B-2140476J,55.2763623956193
p-8263041e,52.46631660659809
Y-1681893d,57.38579879107404
w-1017091K,31.355726980216417
M-1236720D,33.08244221828466
I-7194770x,28.295442919511352
m13987388S,36.83570739728699
w17315089Z,42.086864983728276
f-1380237E,41.205199731063075
P10499796W,41.637110546180416
l-1844181l,50.542493997617754
g13957568L,39.15418520758561
R-5598576l,43.07399903086842
n59321309Q,32.763650899923164
R-1193631X,31.53635881641262
y-2178923H,43.47126407955334
m73284992F,30.63011436718258
Z-2537370X,71.95474471925888
t17276860j,52.46279183347879
y33047270r,29.201495379451515
b-9079908N,59.91247480924736
q92579907V,65.73777496096986
Z94669875T,65.43663326977202
M86375856k,58.37065048466332
c23067621B,36.69307167394875
L-1838617u,70.1918817917883
s-1063517N,27.241088080105854
x-1172003m,70.83307938522049
Q10654514V,29.016263811375737
A-3425095J,29.79525539841041
F-1854480x,50.5020762176041
C-1953190j,34.91411205871779
l41267361i,48.67472571269568
N90091958O,28.714619707764914
z20306091J,29.824471395835438
F94970727I,61.53970292085122
M14830267a,36.627101202295904
i-1101173g,31.314669809479962
l-7821340d,55.14823442409494
I18827052n,26.97594933226261
Z14111948t,41.50609995473475
T17415608q,73.02503476191849
R-1068057n,33.97843075591091
K-8915465U,32.38267476734485
f-2804472s,55.08689044387565
v-1578970y,37.26835041981272
Q14003835G,48.29809509373291
W14646068A,79.36422116587514
o-1593719v,28.720566999921008
C-4941408C,51.78576084929699
x-9374675c,31.69953818358364
l12294446D,82.27657701873335
p15777006h,29.923421832308254
w-8656872Z,52.353376558202825
